"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
51,175.5,36,2628,"Inside","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","Unf",0,764,764,"GasA","Ex","Y",764,862,1626,0,0,2,1,2,"Gd",6,0,"BuiltIn",2,474,"TA","TA",0,27,0,0
889,159.5,75,7950,"Corner","2Story",6,6,1977,1977,"TA","TA","CBlock","TA","TA","BLQ",535,155,690,"GasA","TA","Y",698,728,1426,0,0,1,1,3,"TA",6,0,"Attchd",2,440,"TA","TA",252,0,0,0
1312,114,69,9143,"Corner","1.5Fin",5,7,1900,2003,"TA","TA","CBlock","TA","TA","Unf",0,346,346,"GasA","Ex","Y",709,308,1017,0,0,1,0,2,"TA",5,0,"Detchd",1,308,"TA","TA",0,0,139,0
1074,266,63,8849,"Inside","1Story",9,5,2005,2005,"Ex","TA","PConc","Ex","TA","GLQ",28,1656,1684,"GasA","Ex","Y",1684,0,1684,0,0,2,0,2,"Ex",6,1,"Attchd",2,564,"TA","TA",495,72,0,0
1000,286,41,4923,"Inside","1Story",8,5,2001,2002,"Gd","TA","PConc","Ex","TA","GLQ",1153,440,1593,"GasA","Ex","Y",1593,0,1593,1,0,1,1,0,"Ex",5,1,"Attchd",2,682,"TA","TA",0,120,0,224
1849,174,24,2645,"Inside","2Story",8,5,1999,2000,"Gd","TA","PConc","Gd","TA","Unf",0,776,776,"GasA","Ex","Y",764,677,1441,0,0,2,1,2,"Gd",5,0,"Detchd",2,492,"TA","TA",206,0,0,0
1482,149.3,0,4426,"Inside","1Story",6,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",697,151,848,"GasA","Ex","Y",848,0,848,1,0,1,0,1,"Gd",3,1,"Attchd",2,420,"TA","TA",149,0,0,0
2331,545.224,60,18062,"CulDSac","2Story",10,5,2006,2006,"Ex","TA","PConc","Ex","TA","Unf",0,1528,1528,"GasA","Ex","Y",1528,1862,3390,0,0,3,1,5,"Ex",10,1,"BuiltIn",3,758,"TA","TA",204,34,0,0
2077,109.9,84,17808,"Inside","1Story",4,5,1946,1950,"TA","TA","CBlock","TA","TA","Unf",0,484,484,"GasA","TA","N",1242,0,1242,0,0,1,0,2,"TA",4,0,"Attchd",1,336,"TA","TA",0,0,0,0
104,147.11,0,2403,"FR2","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",244,286,530,"GasA","Ex","Y",530,550,1080,0,0,2,1,2,"Gd",4,0,"Attchd",2,496,"TA","TA",0,50,0,0
607,153,85,9350,"Inside","1Story",5,6,1961,1995,"TA","TA","CBlock","TA","TA","ALQ",310,491,1313,"GasA","TA","Y",1313,0,1313,1,0,1,1,3,"Gd",6,1,"Attchd",2,610,"TA","TA",172,28,0,121
57,185.088,63,8577,"Inside","2Story",7,5,2004,2004,"Gd","TA","PConc","Gd","TA","Unf",0,847,847,"GasA","Ex","Y",847,886,1733,0,0,2,1,3,"Gd",7,1,"BuiltIn",2,433,"TA","TA",144,48,0,0
778,165,88,15400,"Inside","SLvl",5,5,1961,1961,"TA","TA","CBlock","TA","Gd","Unf",0,552,552,"GasA","TA","Y",904,611,1774,0,0,2,0,4,"TA",8,1,"Attchd",1,384,"TA","TA",290,40,0,0
1073,274,62,12677,"Inside","1Story",8,5,2003,2004,"Ex","TA","PConc","Ex","TA","GLQ",1218,300,1518,"GasA","Ex","Y",1518,0,1518,0,0,1,1,1,"Ex",6,1,"Attchd",2,588,"TA","TA",185,140,0,0
1574,294,74,11563,"Inside","1Story",8,5,2006,2007,"Gd","TA","PConc","Ex","TA","GLQ",1036,482,1518,"GasA","Ex","Y",1537,0,1537,1,0,2,0,3,"Gd",8,0,"Attchd",3,788,"TA","TA",0,26,0,0
2161,179.4,70,8145,"Inside","2Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,738,738,"GasA","Ex","Y",738,738,1476,0,0,2,1,3,"Gd",7,0,"Attchd",2,552,"TA","TA",0,35,0,0
